,TEXT,X1,Y1,X2,Y2,block_no,line_no,page_no
112,Qty,299,448,312,459,7,3,1
113,Sales,314,448,332,459,7,3,1
114,Unit,314,457,329,468,7,4,1
115,Supplied,384,448,414,459,7,5,1
116,in,416,448,423,459,7,5,1
117,Multiples,382,457,414,468,7,6,1
118,of,416,457,423,468,7,6,1
119,Price,446,448,464,459,7,7,1
120,per,466,448,477,459,7,7,1
121,Sales,445,457,462,468,7,8,1
122,Unit,464,457,479,468,7,8,1
123,Total,518,448,536,459,7,9,1
124,Amount,508,457,536,468,7,10,1
125,V.A.T.,544,448,567,459,7,11,1
126,10,34,467,42,478,8,0,1
127,534446,63,467,87,478,8,1,1
128,Yel,111,467,122,478,8,2,1
129,M5,124,467,136,478,8,2,1
130,crimp,138,467,156,478,8,2,1
131,ring,158,467,171,478,8,2,1
132,"terminal,2.5-6.5sq.mm",173,467,246,478,8,2,1
133,200,300,467,312,478,8,3,1
134,EA,314,467,325,478,8,3,1
135,100,411,467,423,478,8,4,1
136,0.247,461,467,479,478,8,5,1
137,49.38,518,467,536,478,8,6,1
138,23.00%,543,467,567,478,8,7,1
139,HS,111,477,121,488,8,8,1
140,export,123,477,144,488,8,8,1
141,code,146,477,161,488,8,8,1
142,85369010,163,477,195,488,8,8,1
143,HS,111,486,121,496,8,9,1
144,import,123,486,144,496,8,9,1
145,code,146,486,162,496,8,9,1
146,8536901000,164,486,204,496,8,9,1
147,C,255,477,261,488,8,10,1
148,of,263,477,269,488,8,10,1
149,O,271,477,277,488,8,10,1
150,Taiwan,279,477,303,488,8,10,1
151,30,34,496,42,507,9,0,1
152,8399875,63,496,91,507,9,1,1
153,Hand,111,496,128,507,9,2,1
154,Held,130,496,146,507,9,2,1
155,Proximity,148,496,180,507,9,2,1
156,Switch,182,496,204,507,9,2,1
157,Tester,206,496,226,507,9,2,1
158,1,308,496,312,507,9,3,1
159,EA,314,496,325,507,9,3,1
160,86.76,461,496,479,507,9,4,1
161,86.76,518,496,536,507,9,5,1
162,23.00%,543,496,567,507,9,6,1
163,HS,111,506,121,517,9,7,1
164,export,123,506,144,517,9,7,1
165,code,146,506,161,517,9,7,1
166,85361090,163,506,195,517,9,7,1
167,HS,111,515,121,526,9,8,1
168,import,123,515,144,526,9,8,1
169,code,146,515,162,526,9,8,1
170,8536109090,164,515,204,526,9,8,1
171,C,255,506,261,517,9,9,1
172,of,263,506,269,517,9,9,1
173,O,271,506,277,517,9,9,1
174,Various,279,506,305,517,9,9,1
175,***,111,525,123,536,10,0,1
